"","id","district","mathscore","pct_female","pct_minority","pct_lep","pct_sped","pct_lowinc","pct_mathremed","mobility","computer_home","computer_school","pct_fouryear","pct_twoyear","pct_work","avg_absences","st_ratio","avg_salary","enroll","ppe","urban","charter","votech","pct_licensed","pct_lic_core","pct_in_school_susp","pct_out_school_susp","averageclasssize"
"140",2740000,"Somerville",243.031356811523,48.2000007629395,48.8000030517578,17.7000007629395,23.6000003814697,64.9000015258789,18.5483875274658,2,2,3,39,29.9000015258789,22.2999992370605,10.6999998092651,12.3999996185303,62.439,1468,15.3690004348755,1,0,0,97.9000015258789,99.5,1.5,3.20000004768372,18
"141",2770000,"Southbridge",235.031585693359,48.5999984741211,39.5,7.09999990463257,17.3999996185303,64.4000015258789,14.8936166763306,1,1,3,29.4000015258789,28.2000007629395,35.2999992370605,11.8000001907349,12.5,59.115,386,12.6260004043579,0,0,0,96.0999984741211,97.0999984741211,5.19999980926514,11.3000001907349,19.2999992370605
"142",2780000,"South Hadley",250.100006103516,51.2000007629395,8.19999980926514,0.699999988079071,16.3999996185303,16.1000003814697,22.9166660308838,2,3,3,51.9000015258789,34.5999984741211,9,9.10000038146973,13.8000001907349,53.236,732,10.3249998092651,0,0,0,98.5999984741211,99.1999969482422,5.69999980926514,3.09999990463257,15.6000003814697
"143",2810000,"Springfield",234.962585449219,48,77,13,23.2000007629395,78.5,9.29878044128418,2,1,1,27.5,39.2000007629395,9.69999980926514,17.2000007629395,11.3999996185303,53.452,6952,12.4429998397827,1,0,0,95.5999984741211,94.3000030517578,7.09999990463257,10.5,17.3999996185303
"144",2840000,"Stoneham",251.736846923828,49.2000007629395,5.30000019073486,2.09999990463257,18.5,11.6999998092651,5.34759378433228,3,3,2,66.4000015258789,21.3999996185303,5.30000019073486,7.09999990463257,14.1000003814697,55.038,792,9.96100044250488,0,0,0,100,100,0.100000001490116,3.29999995231628,15.8999996185303
"145",2850000,"Stoughton",251.148788452148,48.4000015258789,17.8999996185303,3.90000009536743,15.3999996185303,22.2999992370605,11.5384616851807,2,2,1,64.5999984741211,22.6999988555908,9.30000019073486,10.3000001907349,13.1000003814697,61.143,1154,10.2819995880127,0,0,0,100,100,5.40000009536743,4.59999990463257,16.8999996185303
"146",2900000,"Sutton",256.638305664062,51.0999984741211,1.79999995231628,0,18.2000007629395,8.10000038146973,8.35331344604492,2,3,2,72.6000061035156,12.6000003814697,8.39999961853027,7.40000009536743,14.8999996185303,51.782,400,9.06799983978271,0,0,0,98,98.5999984741211,NA,NA,20.5
"147",2910000,"Swampscott",253.057144165039,50.5999984741211,5.69999980926514,1.60000002384186,15.3000001907349,8.80000019073486,6.03015089035034,2,3,2,94.4000015258789,0,0.5,8.30000019073486,13.5,57.68,800,10.6879997253418,0,0,0,99.1999969482422,98.9000015258789,0.100000001490116,2.09999990463257,20.2999992370605
"148",2920000,"Swansea",249.560287475586,48.5999984741211,2.20000004768372,0.699999988079071,15.5,10.8000001907349,9.2857141494751,2,3,1,49,28.7000007629395,13.3000001907349,9.19999980926514,13.6999998092651,48.87,567,10.8450002670288,0,0,0,100,99.5,5.80000019073486,1.79999995231628,17
"149",2930000,"Taunton",248.401870727539,47.7000007629395,19.8000011444092,2.09999990463257,16.7000007629395,38.2999992370605,14.7783250808716,1,2,1,45.5,25.1000003814697,16.6999988555908,7.19999980926514,15.8000001907349,61.664,1909,10.2229995727539,1,0,0,99.4000015258789,99.5,1.39999997615814,6.5,20.2999992370605
"150",2950000,"Tewksbury",253.583999633789,49.0999984741211,2.5,0.200000002980232,17,6.19999980926514,6.66666698455811,3,2,1,70.8000030517578,15.4000005722046,3.90000009536743,7.30000019073486,17.5,59.146,1128,9.14299964904785,0,0,0,100,100,0,3.29999995231628,20.2000007629395
"151",3010000,"Tyngsborough",256.184387207031,48.2999992370605,2.09999990463257,0.400000005960464,12.3999996185303,4.59999990463257,8.86107730865479,3,3,2,82.3000030517578,11.8000001907349,3.90000009536743,8.80000019073486,14.3000001907349,55.281,576,9.29699993133545,0,0,0,98.5,98.5,0.100000001490116,0.899999976158142,19.2000007629395
"152",3040000,"Uxbridge",250.140350341797,47,4.59999990463257,1.10000002384186,15.1000003814697,14.6999998092651,12.6126127243042,2,2,2,63.6999969482422,17.6999988555908,18.5,8.19999980926514,13.8000001907349,56.069,460,10.1560001373291,0,0,0,100,99.6999969482422,0.400000005960464,1.39999997615814,18.5
"153",3050000,"Wakefield",256.853454589844,50.0999984741211,3.79999995231628,0.5,17.2999992370605,7.30000019073486,17.9824562072754,2,3,3,68.5,20,8.19999980926514,8.30000019073486,13.3000001907349,57.274,967,10.7040004730225,0,0,0,99.1999969482422,99.5,0.200000002980232,2.09999990463257,19
"154",3070000,"Walpole",255.562728881836,50.2999992370605,6.19999980926514,1.39999997615814,16.7999992370605,7.69999980926514,3.01724147796631,2,3,2,80.1999969482422,10.0999994277954,4,6.40000009536743,14.8999996185303,55.38,1121,10.4700002670288,0,0,0,100,99.9000015258789,1.29999995231628,1.10000002384186,20.7000007629395
"155",3080000,"Waltham",249.239761352539,47.2000007629395,36.4000015258789,9.60000038146973,22.5,37,9.61538505554199,2,2,2,55.4000015258789,22.3000011444092,11.3000001907349,9.39999961853027,11.3999996185303,60.68,1513,16.5380001068115,0,0,0,100,100,0.600000023841858,2.5,15.6999998092651
"156",3090000,"Ware",251.413330078125,47.2000007629395,7.5,0.699999988079071,17.6000003814697,46.7000007629395,17.5675678253174,2,3,3,39.5999984741211,46.5999984741211,10.3000001907349,9.69999980926514,13.6000003814697,53.226,304,11.8299999237061,0,0,0,97.8000030517578,95.8000030517578,4.40000009536743,5.30000019073486,20.7000007629395
"157",3100000,"Wareham",244.095687866211,47.4000015258789,14.1999998092651,0.200000002980232,17.1000003814697,40.2999992370605,13.3004932403564,2,2,2,44.0999984741211,30.5,18.2999992370605,8.69999980926514,15,59.082,948,10.5719995498657,0,0,0,98.3000030517578,98.3000030517578,5,10,15.8000001907349
"158",3140000,"Watertown",254.436782836914,48.5,12.4000005722046,9.60000038146973,18.2000007629395,21.7000007629395,11.6279067993164,2,2,3,69.3000030517578,14.8000001907349,9,9.80000019073486,11.1000003814697,61.589,706,15.3409996032715,0,0,0,100,99.5999984741211,2.90000009536743,1.29999995231628,16.7000007629395
"159",3150000,"Wayland",262.761474609375,48.0999984741211,7.89999961853027,0.200000002980232,18.2999992370605,5.09999990463257,4.42876005172729,3,3,2,90.6000061035156,1.69999992847443,0.800000011920929,6,13.3999996185303,64.037,906,13.21399974823,0,0,0,99.3000030517578,100,0.699999988079071,0.5,17
"160",3160000,"Webster",248.240509033203,49.7999992370605,19,3,15.5,42.4000015258789,22.2222232818604,1,1,1,44.4000015258789,34.0999984741211,18.8000011444092,9.69999980926514,14.3000001907349,59.584,548,10.6619997024536,0,0,0,99.3000030517578,97.5999984741211,8.80000019073486,7.69999980926514,18.7000007629395
"161",3170000,"Wellesley",261.6845703125,50.0999984741211,7.89999961853027,1.60000002384186,15.8999996185303,3.90000009536743,10,3,3,3,93.2000045776367,0.800000011920929,2.5,6.59999990463257,13.8999996185303,69.784,1211,12.7760000228882,0,0,0,98.6999969482422,97.4000015258789,0.400000005960464,0.800000011920929,16.7999992370605
"162",3210000,"Westborough",261.231872558594,48.5999984741211,6.29999971389771,7.30000019073486,12.6000003814697,5.40000009536743,5.12813901901245,2,3,3,84.1000061035156,12.5,1.5,5.80000019073486,13.6999998092651,62.275,1110,12.5550003051758,0,0,0,99.8000030517578,99.8000030517578,0.200000002980232,0.699999988079071,16.6000003814697
"163",3220000,"West Boylston",258.769226074219,50.2999992370605,4.30000019073486,0.400000005960464,12.5,10.6999998092651,6.59340715408325,2,3,2,67.0999984741211,18.3999996185303,7.90000009536743,6.80000019073486,13.3000001907349,56.144,342,10.3979997634888,0,0,0,100,100,1.10000002384186,3.59999990463257,17
"164",3230000,"West Bridgewater",257.663360595703,50.5999984741211,3.79999995231628,0,11.1000003814697,9.69999980926514,5,2,2,2,77,19,1.39999997615814,7.5,15.1999998092651,49.294,388,9.68200016021729,0,0,0,100,100,0,1.29999995231628,20.1000003814697
"165",3250000,"Westfield",244.785583496094,47.5,10.8999996185303,3.70000004768372,17.5,29.5,15.8501443862915,2,3,1,40.5999984741211,37.7000007629395,13.2999992370605,9.10000038146973,12.3000001907349,44.03,2118,11.3489999771118,0,0,0,99.0999984741211,99.5999984741211,3.70000004768372,6.30000019073486,18
"166",3260000,"Westford",261.739807128906,49.0999984741211,1.10000002384186,0.800000011920929,9.89999961853027,2.5,5.04246425628662,3,3,2,87.5,8.60000038146973,2.20000004768372,5.59999990463257,14.6000003814697,57.672,1580,9.29800033569336,0,0,0,100,99.8000030517578,0.400000005960464,0.400000005960464,19
"167",3300000,"Weston",260.276245117188,48.9000015258789,8.59999942779541,1.70000004768372,14.8999996185303,1.89999997615814,8.62068939208984,2,3,3,96.2000045776367,1.60000002384186,1.10000002384186,5.80000019073486,12.8999996185303,70.617,722,16.4629993438721,0,0,0,100,66.0999984741211,0.400000005960464,1.60000002384186,19.5
"168",3310000,"Westport",244.961242675781,48.7999992370605,2.70000004768372,0.400000005960464,14.8000001907349,12.8999996185303,12.7999992370605,2,3,2,35.2999992370605,46.0999984741211,6.90000009536743,10.3000001907349,15.8000001907349,53.208,524,9.41499996185303,0,0,0,99,96.9000015258789,0.300000011920929,2.20000004768372,17.5
"169",3320000,"West Springfield",245.326858520508,48.2999992370605,16.7999992370605,6.90000009536743,17.7000007629395,39.2000007629395,12.9707117080688,2,2,1,33.7999992370605,46.2999992370605,11.2999992370605,8.69999980926514,13,50.693,1294,11.039999961853,0,0,0,99.5999984741211,99.0999984741211,0.200000002980232,3.79999995231628,16
"170",3350000,"Westwood",262.575744628906,49.5,4.09999990463257,0,14.8999996185303,0.200000002980232,3.74331545829773,2,3,3,92.7999954223633,3.59999990463257,3,6,13.3999996185303,60.159,819,12.4359998703003,0,0,0,100,100,0.300000011920929,0.400000005960464,19.2999992370605
"171",3360000,"Weymouth",249.19450378418,47,7.90000009536743,1.29999995231628,17.2999992370605,18.6000003814697,5.46697044372559,2,3,2,45.4000015258789,21.6999988555908,12.7999992370605,9.60000038146973,14.1000003814697,58.882,2117,11.539999961853,0,0,0,100,97.1999969482422,0,4.30000019073486,19.3999996185303
"172",3420000,"Wilmington",257.071716308594,49.5999984741211,2.79999995231628,0.300000011920929,14.3999996185303,6.40000009536743,3.91304349899292,2,3,2,71,19.1000003814697,4.5,6.80000019073486,14.6999998092651,55.224,1001,10.0290002822876,0,0,0,99.8000030517578,100,2.09999990463257,1.29999995231628,18.2999992370605
"173",3430000,"Winchendon",245.551025390625,49.5,5.90000009536743,0.600000023841858,21.8999996185303,29.8999996185303,35.7894706726074,2,2,1,31.6999988555908,35.4000015258789,30.3999996185303,9,13.1000003814697,51.359,413,10.4499998092651,0,0,0,99.8000030517578,98.9000015258789,4.5,5.5,18
"174",3440000,"Winchester",261.573516845703,48.7000007629395,3.40000009536743,2.20000004768372,15,3.59999990463257,3.77358484268188,3,3,2,89.1999969482422,3.40000009536743,1.10000002384186,7.59999990463257,14.1999998092651,65.744,1101,10.8859996795654,0,0,0,100,99.9000015258789,0.600000023841858,0.300000011920929,19.3999996185303
"175",3460000,"Winthrop",254.655456542969,51.7000007629395,8.19999980926514,3.09999990463257,19,23.3999996185303,5.88235330581665,2,2,1,60.1999969482422,24.5,5.09999990463257,10.6999998092651,13.1999998092651,49.177,542,10.4659996032715,0,0,0,96.8000030517578,95.1999969482422,0.300000011920929,3.20000004768372,19.7999992370605
"176",3470000,"Woburn",248.548782348633,50,12.1999998092651,3.59999990463257,15,20.8999996185303,13.5384616851807,2,3,1,65.3000030517578,16.6000003814697,11.6000003814697,9.30000019073486,13,54.715,1431,12.4870004653931,0,0,0,99.4000015258789,99.5999984741211,0.699999988079071,1.5,17.2000007629395
"177",3480000,"Worcester",241.486480712891,48.4000015258789,49,20.6000003814697,19.8999996185303,65.1999969482422,15.1268119812012,2,1,1,37.5,43.2999992370605,11.6000003814697,10.1000003814697,14.3000001907349,61.445,6958,12.3769998550415,1,0,0,97.3000030517578,98.6999969482422,0,10.5,16.2999992370605
